2015-02-20 07:52:23,363 -  INFO - org.springframework.web.context.ContextLoader - initWebApplicationContext - Root WebApplicationContext: initialization started
2015-02-20 07:52:50,164 -  INFO - org.hibernate.tool.hbm2ddl.TableMetadata - <init> - HHH000037: Columns: [threshold_id, account_id, threshold_category, threshold_ value]
2015-02-20 07:52:50,164 -  INFO - org.hibernate.tool.hbm2ddl.TableMetadata - <init> - HHH000108: Foreign keys: [maintain]
2015-02-20 07:52:50,164 -  INFO - org.hibernate.tool.hbm2ddl.TableMetadata - <init> - HHH000126: Indexes: [unique_identifier5]
2015-02-20 07:52:50,180 -  INFO - org.hibernate.tool.hbm2ddl.SchemaUpdate - execute - HHH000232: Schema update complete
2015-02-20 07:52:51,264 -  INFO - org.springframework.web.servlet.handler.AbstractUrlHandlerMapping - registerHandler - Mapped URL path [/login] onto handler 'loginController'
2015-02-20 07:52:51,265 -  INFO - org.springframework.web.servlet.handler.AbstractUrlHandlerMapping - registerHandler - Mapped URL path [/login/*] onto handler 'loginController'
2015-02-20 07:52:51,518 -  INFO - org.springframework.web.context.ContextLoader - initWebApplicationContext - Root WebApplicationContext: initialization completed in 27905 ms
2015-02-20 07:52:51,627 -  INFO - org.springframework.web.servlet.FrameworkServlet - initServletBean - FrameworkServlet 'mess': initialization started
2015-02-20 07:52:51,643 -  INFO - org.springframework.context.support.AbstractApplicationContext - prepareRefresh - Refreshing WebApplicationContext for namespace 'mess-servlet': startup date [Fri Feb 20 07:52:51 IST 2015]; parent: Root WebApplicationContext
2015-02-20 07:52:51,643 -  INFO - org.springframework.beans.factory.xml.XmlBeanDefinitionReader - loadBeanDefinitions - Loading XML bean definitions from ServletContext resource [/WEB-INF/mess-servlet.xml]
2015-02-20 07:52:51,986 -  INFO - org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor - <init> - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2015-02-20 07:52:52,033 -  INFO - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping - registerHandlerMethod - Mapped "{[/login],methods=[POST],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.String com.mrptech.mess.controller.LoginController.doCustomerLogin(java.util.Map,javax.servlet.http.HttpServletRequest,java.util.Locale,com.mrptech.mess.dto.AuthenticationDto)
2015-02-20 07:52:52,033 -  INFO - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping - registerHandlerMethod - Mapped "{[/login],methods=[GET],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.String com.mrptech.mess.controller.LoginController.customerLogin(javax.servlet.http.HttpServletRequest,org.springframework.ui.Model)
2015-02-20 07:52:52,033 -  INFO - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping - registerHandlerMethod - Mapped "{[/login/test],methods=[GET],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.String com.mrptech.mess.controller.LoginController.viewAdmin(java.util.Map,java.lang.Long,java.util.Locale,javax.servlet.http.HttpServletRequest)
2015-02-20 07:52:52,471 -  INFO - org.apache.tiles.access.TilesAccess - setContainer - Publishing TilesContext for context: org.springframework.web.servlet.view.tiles2.SpringWildcardServletTilesApplicationContext
2015-02-20 07:52:52,705 -  INFO - org.springframework.web.servlet.FrameworkServlet - initServletBean - FrameworkServlet 'mess': initialization completed in 1063 ms
2015-02-20 08:07:53,877 -  INFO - org.springframework.web.context.ContextLoader - initWebApplicationContext - Root WebApplicationContext: initialization started
2015-02-20 08:07:54,166 -  INFO - org.springframework.context.support.AbstractApplicationContext - prepareRefresh - Refreshing Root WebApplicationContext: startup date [Fri Feb 20 08:07:54 IST 2015]; root of context hierarchy
2015-02-20 08:07:54,312 -  INFO - org.springframework.beans.factory.xml.XmlBeanDefinitionReader - loadBeanDefinitions - Loading XML bean definitions from URL [file:/C:/Users/Manas%20Ranjan/workspace/MessMaster/target/classes/mess-ApplicationContext.xml]
2015-02-20 08:07:55,728 -  INFO - org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor - <init> - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2015-02-20 08:07:56,442 -  INFO - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping - registerHandlerMethod - Mapped "{[/login],methods=[GET],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.String com.mrptech.mess.controller.LoginController.customerLogin(javax.servlet.http.HttpServletRequest,org.springframework.ui.Model)
2015-02-20 08:07:56,447 -  INFO - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping - registerHandlerMethod - Mapped "{[/login/test],methods=[GET],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.String com.mrptech.mess.controller.LoginController.viewAdmin(java.util.Map,java.lang.Long,java.util.Locale,javax.servlet.http.HttpServletRequest)
2015-02-20 08:07:56,448 -  INFO - org.springframework.web.servlet.handler.AbstractHandlerMethodMapping - registerHandlerMethod - Mapped "{[/login],methods=[POST],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.String com.mrptech.mess.controller.LoginController.doCustomerLogin(java.util.Map,javax.servlet.http.HttpServletRequest,java.util.Locale,com.mrptech.mess.dto.AuthenticationDto)
2015-02-20 08:07:58,297 -  INFO - org.springframework.jdbc.datasource.DriverManagerDataSource - setDriverClassName - Loaded JDBC driver: oracle.jdbc.OracleDriver
2015-02-20 08:07:58,812 -  INFO - org.hibernate.annotations.common.reflection.java.JavaReflectionManager - <clinit> - HCANN000001: Hibernate Commons Annotations {4.0.4.Final}
2015-02-20 08:07:58,840 -  INFO - org.hibernate.Version - logVersion - HHH000412: Hibernate Core {4.3.4.Final}
2015-02-20 08:07:58,852 -  INFO - org.hibernate.cfg.Environment - <clinit> - HHH000206: hibernate.properties not found
2015-02-20 08:07:58,860 -  INFO - org.hibernate.cfg.Environment - buildBytecodeProvider - HHH000021: Bytecode provider name : javassist
2015-02-20 08:08:00,299 -  INFO - org.hibernate.dialect.Dialect - <init> - HHH000400: Using dialect: org.hibernate.dialect.Oracle10gDialect
2015-02-20 08:08:01,403 -  INFO - org.hibernate.engine.transaction.internal.TransactionFactoryInitiator - initiateService - HHH000399: Using default transaction strategy (direct JDBC transactions)
2015-02-20 08:08:01,419 -  INFO - org.hibernate.hql.internal.ast.ASTQueryTranslatorFactory - <init> - HHH000397: Using ASTQueryTranslatorFactory
2015-02-20 08:08:03,070 -  INFO - org.hibernate.tool.hbm2ddl.SchemaUpdate - execute - HHH000228: Running hbm2ddl schema update
2015-02-20 08:08:03,074 -  INFO - org.hibernate.tool.hbm2ddl.SchemaUpdate - execute - HHH000102: Fetching database metadata
2015-02-20 08:08:03,465 -  INFO - org.hibernate.tool.hbm2ddl.SchemaUpdate - execute - HHH000396: Updating schema
2015-02-20 08:08:03,711 -  INFO - org.hibernate.tool.hbm2ddl.TableMetadata - <init> - HHH000261: Table found: MESSMASTER.FILE_COMPLAINT
2015-02-20 08:08:03,711 -  INFO - org.hibernate.tool.hbm2ddl.TableMetadata - <init> - HHH000037: Columns: [created_by, iss_mast_mno_id, modified_on, comp_reason, node_code, status, modified_by, created_on, complaint_id, transaction_id]
2015-02-20 08:08:03,715 -  INFO - org.hibernate.tool.hbm2ddl.TableMetadata - <init> - HHH000108: Foreign keys: []
2015-02-20 08:08:03,715 -  INFO - org.hibernate.tool.hbm2ddl.TableMetadata - <init> - HHH000126: Indexes: [unique_identifier213]
2015-02-20 08:08:03,768 -  INFO - org.hibernate.tool.hbm2ddl.TableMetadata - <init> - HHH000261: Table found: MESSMASTER.GROUP_ROLES
2015-02-20 08:08:03,772 -  INFO - org.hibernate.tool.hbm2ddl.TableMetadata - <init> - HHH000037: Columns: [created_by, modified_on, modified_by, created_on, description, group_role_code]
2015-02-20 08:08:03,772 -  INFO - org.hibernate.tool.hbm2ddl.TableMetadata - <init> - HHH000108: Foreign keys: []
2015-02-20 08:08:03,772 -  INFO - org.hibernate.tool.hbm2ddl.TableMetadata - <init> - HHH000126: Indexes: [unique_identifier17]
2015-02-20 08:08:03,820 -  INFO - org.hibernate.tool.hbm2ddl.TableMetadata - <init> - HHH000261: Table found: MESSMASTER.HIERARCHY
